Date,Open,High,Low,Close,Volume
2019-02-25 09:30:00,17.0,17.0,17.0,17.0,1.0
2019-02-25 13:30:00,16.5,16.5,16.5,16.5,400.0
2019-02-28 13:30:00,16.2,16.2,16.2,16.2,333.0
2019-03-05 09:30:00,15.9,15.9,15.9,15.9,77.0
2019-03-05 13:30:00,15.9,16.2,15.9,16.2,11.0
2019-03-07 09:30:00,16.2,16.2,16.2,16.2,10.0
2019-03-12 13:30:00,15.2,15.2,15.0,15.0,1325.0
2019-03-13 09:30:00,15.0,16.1,14.5,16.1,201.0
2019-03-15 09:30:00,16.2,16.2,16.2,16.2,1.0
2019-03-18 09:30:00,15.9,16.2,15.5,16.2,651.0
2019-03-19 09:30:00,16.3,16.3,16.3,16.3,1.0
2019-03-21 09:30:00,16.0,16.0,15.5,15.5,1030.0
2019-03-21 13:30:00,15.5,15.5,15.5,15.5,12.0
2019-03-22 09:30:00,14.7,16.0,14.7,16.0,2.0
2019-03-22 13:30:00,14.7,14.7,14.0,14.0,700.0
2019-03-25 09:30:00,15.4,15.4,15.4,15.4,321.0
2019-03-26 09:30:00,15.5,16.0,15.5,16.0,531.0
2019-03-27 09:30:00,15.8,15.8,15.8,15.8,103.0
2019-03-28 09:30:00,15.7,16.1,15.7,16.1,468.0
2019-03-28 13:30:00,16.1,16.1,16.1,16.1,100.0
2019-03-29 09:30:00,16.1,16.1,16.1,16.1,30.0
2019-03-29 13:30:00,16.4,16.4,16.4,16.4,14.0
2019-04-01 09:30:00,16.4,16.4,16.4,16.4,1.0
2019-04-03 13:30:00,16.4,16.4,16.4,16.4,1.0
2019-04-04 09:30:00,16.3,16.3,16.3,16.3,8100.0
2019-04-05 09:30:00,16.0,16.3,16.0,16.3,501.0
2019-04-08 09:30:00,16.0,16.3,16.0,16.3,1001.0
2019-04-09 09:30:00,16.3,16.3,16.3,16.3,1.0
2019-04-10 13:30:00,16.3,16.3,16.3,16.3,1.0
2019-04-11 09:30:00,16.3,16.3,16.0,16.3,5255.0
2019-04-11 13:30:00,16.3,16.6,16.3,16.6,320.0
2019-04-12 09:30:00,16.9,16.9,16.9,16.9,1.0
2019-04-16 09:30:00,16.9,16.9,16.9,16.9,1.0
2019-04-17 09:30:00,16.1,16.1,16.1,16.1,200.0
2019-04-17 13:30:00,16.8,16.8,16.8,16.8,6.0
2019-04-18 09:30:00,16.5,16.9,16.5,16.9,2800.0
2019-04-23 09:30:00,16.0,16.0,14.7,15.3,5004.0
2019-04-23 13:30:00,14.7,14.7,14.7,14.7,739.0
2019-04-24 09:30:00,15.2,15.2,15.2,15.2,411.0
2019-04-30 09:30:00,15.9,15.9,15.9,15.9,1.0
2019-05-02 09:30:00,16.5,16.5,16.5,16.5,1.0
2019-05-03 09:30:00,16.0,16.0,16.0,16.0,3.0
2019-05-06 09:30:00,16.0,16.0,16.0,16.0,1.0
